Id,pRawCoord1,pRawCoord2,pRawCoord3,pRawCoord4,pRawCoord5,pRawCoord6,pRawCoord7,pRawCoord8,pRawCoord9,pRawCoord10,pRawCoord11,pRawCoord12,pRawCoord13,pRawCoord14,pRawCoord15,pRawCoord16,pRawCoord17,pRawCoord18,pRawCoord19,pRawCoord20,pRawCoord21,pRawCoord22,pRawCoord23,pRawCoord24,pRawCoord25,pRawCoord26,pRawCoord27,pRawCoord28,pRawCoord29,pRawCoord30,pRawCoord31,pRawCoord32,pRawCoord33,pRawCoord34,pRawCoord35,pRawCoord36,pRawCoord37,pRawCoord38,pRawCoord39,pRawCoord40,pRawCoord41,pRawCoord42,pRawCoord43,pRawCoord44,pRawCoord45,pRawCoord46,pRawCoord47,pRawCoord48,pRawCoord49,pRawCoord50,pRawCoord51,pRawCoord52
N.ar_AL_66,2440,1446,2328,1297,2244,1168,2589,1366,2629,1345,2745,1267,2793,1230,2845,1183,2580,1296,2756,1126,2792,1089,2819,1059,2453,1211,2497,1200,2479,1178,2697,1028,2721,988,2745,926,2598,925,2613,878,2627,829,2376,1167,2390,1108,2456,861,2470,813,2482,772
N.ar_AL_67,1935,1549,1843,1414,1747,1295,2094,1431,2135,1394,2195,1335,2223,1309,2280,1249,2063,1374,2193,1212,2227,1166,2260,1116,1955,1314,1999,1301,1964,1270,2151,1109,2178,1068,2212,1002,2065,1023,2083,982,2100,935,1872,1253,1882,1191,1931,995,1944,954,1958,913
N.ar_AL_70,2414,1560,2373,1430,2333,1329,2608,1522,2640,1509,2699,1493,2716,1487,2790,1465,2564,1468,2736,1383,2765,1365,2816,1340,2475,1387,2535,1389,2517,1364,2735,1293,2769,1267,2798,1239,2694,1176,2711,1153,2744,1110,2447,1340,2472,1305,2601,1098,2614,1069,2636,1031
N.ar_FL_39,2412,1327,2351,1196,2308,1098,2560,1278,2591,1266,2681,1229,2713,1217,2754,1195,2536,1229,2702,1131,2738,1100,2758,1072,2467,1149,2517,1154,2490,1122,2674,1032,2702,999,2724,971,2622,942,2639,911,2654,882,2416,1103,2434,1068,2529,876,2541,846,2553,816
N.ar_FL_40,2381,1371,2312,1232,2250,1152,2546,1279,2577,1264,2633,1235,2665,1215,2743,1159,2512,1233,2660,1112,2686,1091,2718,1051,2416,1163,2466,1153,2434,1141,2630,1019,2656,986,2674,947,2561,918,2583,882,2595,856,2366,1101,2380,1070,2456,862,2466,818,2478,793
N.ar_FL_47,1797,1279,1736,1145,1664,1052,1922,1234,1955,1223,2042,1195,2077,1183,2146,1147,1918,1182,2067,1098,2090,1081,2146,1035,1829,1104,1875,1103,1857,1070,2046,995,2073,966,2106,925,1985,893,1998,867,2020,828,1786,1032,1803,994,1878,824,1891,794,1908,758
N.ar_FL_42,2116,1246,2064,1111,2001,1011,2239,1197,2262,1184,2354,1142,2393,1125,2436,1103,2225,1150,2370,1048,2403,1023,2439,984,2167,1065,2204,1065,2186,1038,2343,966,2374,938,2405,888,2293,880,2321,837,2344,791,2114,997,2131,961,2205,797,2229,752,2245,726
N.ar_FL_43,2243,1359,2189,1227,2129,1140,2415,1297,2441,1283,2511,1255,2545,1235,2625,1176,2378,1250,2542,1145,2573,1116,2616,1061,2311,1168,2349,1163,2331,1144,2527,1047,2546,1022,2576,969,2462,961,2482,928,2502,892,2259,1102,2274,1077,2358,893,2373,857,2390,826
N.ar_FL_44,2413,1436,2354,1309,2303,1213,2565,1392,2601,1381,2684,1345,2722,1332,2760,1319,2549,1340,2712,1246,2757,1216,2789,1188,2467,1264,2519,1265,2486,1243,2685,1162,2717,1137,2751,1097,2631,1070,2661,1023,2678,991,2424,1208,2445,1170,2543,995,2569,952,2579,928
N.ar_FL_45,2127,1511,2069,1362,2002,1257,2306,1442,2331,1430,2396,1395,2433,1375,2483,1334,2277,1378,2416,1270,2452,1235,2485,1200,2183,1288,2240,1280,2201,1266,2385,1168,2410,1145,2448,1082,2324,1066,2348,1021,2362,983,2116,1248,2134,1196,2214,979,2225,939,2240,897
