Id,sRawCoord1,sRawCoord2,sRawCoord3,sRawCoord4,sRawCoord5,sRawCoord6,sRawCoord7,sRawCoord8,sRawCoord9,sRawCoord10,sRawCoord11,sRawCoord12,sRawCoord13,sRawCoord14,sRawCoord15,sRawCoord16,sRawCoord17,sRawCoord18,sRawCoord19,sRawCoord20,sRawCoord21,sRawCoord22,sRawCoord23,sRawCoord24,sRawCoord25,sRawCoord26,sRawCoord27,sRawCoord28,sRawCoord29,sRawCoord30
N.ar_AL_117,2121,1311,1994,1176,2428,1230,2021,1169,2572,1102,2058,1084,2600,965,2109,948,2589,783,2092,929,2520,605,1958,932,2399,453,2231,328,1908,525
N.ar_AL_118,2668,1492,2567,1375,2931,1369,2613,1351,3119,1160,2669,1262,3124,988,2665,1110,3068,820,2623,1108,2961,671,2481,1164,2797,577,2601,530,2339,788
N.ar_AL_119,2555,1042,2488,940,2793,905,2508,919,2945,719,2528,848,2931,573,2551,714,2873,430,2507,712,2760,296,2388,763,2617,211,2452,201,2254,445
N.ar_AL_120,1761,1519,1655,1443,1972,1366,1675,1418,2064,1197,1694,1343,2040,1036,1706,1213,1968,919,1674,1205,1848,808,1551,1271,1698,747,1511,768,1354,996
N.ar_AL_121,2431,1184,2316,1105,2644,1011,2326,1081,2714,830,2324,1009,2688,702,2322,885,2616,577,2292,887,2497,470,2183,952,2343,408,2161,401,1997,632
N.ar_AL_68,2464,1521,2380,1446,2680,1400,2398,1433,2761,1277,2426,1374,2756,1171,2445,1258,2714,1055,2414,1254,2631,951,2305,1297,2510,885,2263,962,2186,1061
N.ar_AL_69,2618,1508,2478,1443,2809,1392,2503,1428,2874,1288,2534,1373,2862,1160,2568,1255,2832,1038,2535,1248,2752,926,2429,1293,2639,851,2508,826,2348,1026
N.ar_FL_122,2230,1254,2073,1124,2581,1109,2135,1106,2713,957,2223,1038,2721,800,2295,889,2694,634,2214,881,2619,475,2065,920,2495,344,2344,245,1990,495
N.ar_FL_123,2725,1438,2528,1338,3019,1258,2569,1317,3154,1068,2615,1239,3140,912,2670,1081,3075,768,2608,1070,2970,635,2456,1117,2817,515,2674,429,2386,647
N.ar_FL_124,2774,1209,2595,1157,3010,1008,2628,1124,3114,794,2682,1036,3078,656,2694,892,2999,531,2631,905,2863,414,2507,977,2696,341,2523,276,2310,610
N.ar_FL_125,2099,1512,1884,1393,2402,1385,1954,1377,2488,1262,2012,1299,2518,1089,2076,1164,2509,937,2001,1138,2430,780,1843,1165,2310,637,2128,526,1836,694
N.ar_FL_126,2440,1260,2282,1201,2705,1003,2322,1160,2744,815,2322,1110,2689,678,2327,960,2603,571,2271,968,2468,474,2169,1030,2311,418,2150,396,1989,656
N.ar_FL_127,2255,1346,2009,1341,2447,1098,2028,1317,2460,964,2045,1241,2411,834,2062,1086,2330,718,2033,1089,2219,639,1913,1164,2069,583,1906,541,1724,830
N.ar_FL_128,2750,1290,2563,1235,2873,1214,2605,1208,3060,967,2633,1136,3047,861,2672,1000,2986,722,2623,996,2866,601,2487,1062,2723,520,2579,463,2383,682
N.ar_FL_129,1779,1258,1615,1186,1985,1145,1660,1153,2090,992,1699,1073,2081,811,1704,957,2017,674,1671,948,1909,553,1538,1009,1772,473,1594,448,1385,660
N.ar_FL_130,2533,1398,2356,1325,2720,1239,2384,1295,2842,1017,2410,1223,2805,863,2423,1065,2720,710,2360,1085,2584,595,2251,1152,2419,542,2215,507,2082,815
N.ar_FL_131,2062,1476,1909,1399,2311,1317,1937,1379,2404,1126,1970,1313,2375,997,2001,1149,2315,867,1934,1158,2194,738,1793,1219,2057,648,1895,585,1720,748
N.ar_FL_132,2533,1495,2344,1370,2833,1377,2380,1355,2974,1221,2424,1303,2967,1096,2515,1166,2937,939,2463,1158,2861,776,2310,1177,2726,639,2553,535,2282,732
N.ar_FL_134,2760,1073,2587,975,3011,931,2628,959,3120,747,2659,897,3116,595,2716,730,3066,461,2682,715,2973,328,2553,758,2845,241,2705,153,2481,321
N.ar_FL_48,2225,1615,2097,1530,2472,1458,2130,1508,2528,1333,2145,1462,2517,1201,2183,1339,2473,1086,2155,1342,2391,991,2053,1375,2286,913,2167,856,1976,1024
N.ar_GA_135,2774,1230,2599,1107,3076,1100,2645,1101,3190,949,2708,1024,3220,768,2756,881,3178,617,2725,835,3083,452,2553,889,2921,310,2741,235,2424,543
N.ar_GA_136,2987,1104,2768,1033,3186,959,2813,1012,3303,744,2866,912,3271,550,2882,742,3194,393,2784,754,3070,259,2652,820,2898,157,2716,107,2466,406
N.ar_GA_137,2878,1102,2718,1025,3136,899,2742,1007,3208,759,2761,937,3192,618,2788,782,3151,485,2738,786,3050,341,2617,845,2897,246,2717,209,2507,449
N.ar_GA_138,2623,1209,2424,1126,2885,1069,2471,1096,2991,889,2512,1024,2972,688,2549,852,2913,539,2497,845,2782,396,2338,908,2600,304,2415,264,2186,543
N.ar_GA_141,2166,1349,2015,1286,2428,1113,2049,1247,2466,943,2072,1170,2406,776,2079,1013,2319,664,2013,1042,2193,581,1905,1117,2046,521,1878,475,1687,771
N.ar_GA_142,2240,1279,2113,1205,2458,1069,2151,1158,2565,792,2167,1089,2505,656,2163,927,2404,538,2103,940,2294,450,2008,1011,2151,384,1984,348,1844,664
N.ar_GA_143,2399,1152,2214,1112,2608,884,2245,1064,2651,684,2247,1005,2583,528,2258,799,2483,396,2195,826,2332,309,2074,935,2149,265,1989,262,1813,543
N.ar_LA_100,2709,1238,2633,1120,3055,992,2660,1100,3128,835,2699,1015,3106,668,2721,867,3014,519,2636,883,2895,402,2523,929,2725,326,2549,314,2315,611
N.ar_LA_102,1827,1253,1781,1126,2161,1134,1816,1106,2296,1000,1864,1036,2324,824,1935,885,2304,663,1847,870,2231,502,1735,892,2092,378,1910,292,1624,505
N.ar_LA_104,2483,1212,2383,1126,2754,999,2400,1100,2828,799,2420,1030,2786,659,2434,871,2709,537,2372,880,2573,448,2226,972,2416,386,2229,354,2046,641
N.ar_LA_105,2732,1394,2633,1274,3013,1255,2669,1266,3135,1048,2690,1202,3134,923,2770,1024,3075,758,2680,1029,2967,627,2539,1078,2836,509,2705,436,2434,676
N.ar_LA_99,2637,1237,2504,1150,2894,1050,2521,1125,2975,937,2563,1033,2977,695,2557,884,2894,533,2505,891,2768,405,2391,959,2593,325,2415,300,2207,605
N.ar_MS_106,2041,1357,1933,1281,2259,1202,1974,1257,2374,1004,1989,1192,2356,848,2022,1034,2284,732,1966,1041,2169,622,1836,1110,2022,546,1851,515,1711,806
N.ar_MS_107,2298,1394,2229,1309,2495,1243,2254,1278,2584,1057,2270,1209,2573,888,2279,1068,2512,782,2242,1065,2398,666,2125,1141,2263,602,2114,583,1954,836
N.ar_MS_108,2700,1412,2591,1309,3001,1239,2610,1300,3091,1066,2639,1217,3059,928,2670,1068,2997,790,2643,1064,2874,663,2507,1117,2720,578,2552,538,2336,828
N.ar_MS_111,2778,1101,2697,1000,3123,1001,2726,983,3235,875,2774,893,3247,726,2806,779,3226,537,2758,763,3111,372,2632,788,2957,261,2692,265,2489,507
N.ar_MS_112,2814,1269,2692,1166,3084,1134,2717,1153,3182,999,2764,1074,3192,840,2778,924,3159,656,2738,910,3046,503,2568,955,2894,394,2718,356,2472,598
N.ar_MS_116,2326,1090,2149,990,2532,1000,2199,972,2672,844,2281,884,2680,695,2304,747,2653,542,2258,727,2573,377,2107,770,2431,265,2255,193,2001,436
N.ar_NC_145,2138,1245,2020,1154,2398,1073,2058,1116,2489,896,2089,1042,2458,762,2106,905,2396,617,2068,903,2277,479,1926,973,2129,398,1956,365,1771,619
N.ar_NC_146,2095,1227,1918,1148,2330,1069,1966,1098,2456,843,2006,1020,2420,702,2033,865,2354,558,1976,860,2219,413,1839,929,2045,329,1871,296,1643,554
N.ar_NC_149,2021,1301,1860,1178,2334,1184,1914,1156,2423,1068,1957,1093,2426,927,2030,955,2408,780,2000,933,2336,607,1832,956,2207,478,2036,374,1773,562
N.ar_NC_150,2026,1241,1855,1160,2275,1056,1892,1137,2344,889,1960,1020,2318,731,1968,909,2246,583,1908,905,2114,477,1775,984,1948,406,1783,368,1583,647
N.ar_NC_151,2026,1241,1884,1150,2286,1046,1942,1108,2358,887,1952,1049,2315,744,1980,911,2231,599,1897,912,2114,489,1793,976,1937,398,1773,377,1590,684
N.ar_NC_153,2129,1189,1986,1112,2307,967,2008,1090,2363,786,2010,1007,2303,627,2012,855,2206,507,1962,856,2070,426,1855,937,1909,364,1751,393,1686,710
N.ar_NC_154,2274,1411,2145,1311,2532,1267,2175,1293,2625,1093,2213,1209,2608,949,2286,1060,2551,808,2189,1064,2443,682,2049,1114,2295,581,2117,539,1908,731
N.ar_NC_155,2496,1265,2346,1201,2672,1109,2392,1169,2782,941,2418,1084,2770,770,2434,936,2694,631,2379,937,2575,517,2242,1001,2411,426,2245,418,2040,708
N.fr_NC_1,2330,1607,2199,1504,2565,1499,2238,1487,2664,1397,2283,1431,2684,1267,2343,1307,2661,1140,2275,1307,2583,999,2169,1325,2442,897,2290,851,2058,1040
N.he_GA_33,2907,1361,2680,1295,3155,1152,2737,1258,3241,989,2746,1188,3228,816,2802,1003,3163,661,2726,996,3021,511,2557,1077,2857,406,2669,357,2367,706
