Id,Taxon,BO1,BO2,BO3,BO4,BO5,BO6,B1L,B1W,B2L,B2W,B3L,B3W,B4L,B4W,B5L,B5W,B6L,B6W,Lat
N.ar_AL_117,N.ar,0,0.825,2.896,3.108,3.745,1.391,0,0,1.464,0.61,3.027,1.324,2.666,1.427,3.101,1.517,1.893,0.889,33
N.ar_AL_118,N.ar,0,0.572,3.031,2.841,4.03,1.258,0,0,1.308,0.532,3.154,1.288,2.759,1.363,3.502,1.498,1.961,0.848,33
N.ar_AL_119,N.ar,0,0.006,1.739,1.986,2.623,0.742,0,0,0,0,2.091,1.058,2.141,1.145,2.691,1.228,1.4,0.693,33
N.ar_AL_120,N.ar,0,0,1.99,1.634,2.486,0.807,0,0,0.556,0.305,2.254,1.187,1.963,1.01,2.644,1.048,1.398,0.766,33
N.ar_AL_121,N.ar,0,0.439,2.013,1.763,2.226,0.896,0,0,1.104,0.467,2.361,1.113,2.095,1.067,2.483,1.112,1.854,0.685,33
N.ar_AL_66,N.ar,0,0,2.871,2.703,3.184,1.115,0,0,0,0,3.093,1.016,2.764,1.226,2.763,1.406,1.697,0.801,33
N.ar_AL_67,N.ar,0.178,1.016,3.192,3.775,4.109,1.275,0.635,0.343,1.968,0.447,3.174,1.06,3.727,1.217,4.117,1.241,2.546,0.61,33
N.ar_AL_68,N.ar,0,0.153,1.607,2.377,2.622,0.566,0,0,0.533,0.418,2.276,0.776,2.852,1.052,3.113,0.994,1.267,0.393,33
N.ar_AL_69,N.ar,0,0.5,1.954,2.123,2.299,0.387,0,0,1.191,0.493,2.458,0.911,2.721,1.037,2.765,1.025,1.076,0.464,33
N.ar_AL_70,N.ar,0,0.132,1.663,1.593,2.617,0.727,0,0,0.71,0.217,2.602,0.702,2.63,0.612,3.34,0.829,1.519,0.606,33
N.ar_FL_122,N.ar,0,0,3.112,3.298,3.562,0.662,0,0,0,0,3.016,1.343,3.254,1.362,3.596,1.141,1.236,0.673,29
N.ar_FL_123,N.ar,0,0,2.365,2.011,2.564,0.851,0,0,0,0,3.068,1.035,2.534,0.897,2.928,0.999,1.7,0.51,29
N.ar_FL_124,N.ar,0,0.229,2.713,3.714,4.084,1.324,0,0,0.605,0.508,2.284,1.448,2.814,1.5,2.05,1.562,1.535,0.932,29
N.ar_FL_125,N.ar,0,0.201,1.896,2.119,2.742,0.75,0,0,0.544,0.426,2.934,0.492,3.06,0.873,3.412,0.859,1.917,0.506,29
N.ar_FL_126,N.ar,0,0.177,2.459,2.519,2.862,1.079,0,0,0.766,0.374,2.913,0.871,2.924,1.002,3.346,0.976,1.67,0.68,29
N.ar_FL_127,N.ar,0,0,1.31,1.291,1.929,0.737,0,0,0,0,1.876,0.85,2.092,0.679,2.582,0.906,1.131,0.747,29
N.ar_FL_128,N.ar,0,0.966,3.412,3.73,3.596,1.452,0,0,1.297,0.869,2.78,1.312,2.813,1.772,2.764,1.442,1.664,0.984,29
N.ar_FL_129,N.ar,0,0,0.878,1.103,1.622,0.274,0,0,0,0,1.458,0.825,2.036,0.62,2.301,0.842,0.724,0.485,29
N.ar_FL_130,N.ar,0,0.192,3.176,3.208,3.485,1.269,0,0,0.505,0.516,3.09,1.272,2.623,1.412,2.93,1.22,1.546,0.935,29
N.ar_FL_131,N.ar,0,0.11,2.431,1.728,2.146,0.953,0,0,0,0,3.105,0.779,2.315,0.799,2.784,0.928,1.821,0.619,29
N.ar_FL_132,N.ar,0,0.278,3.749,3.589,3.309,0.801,0,0,0.764,0.434,3.507,1.382,3.124,1.405,2.903,1.408,1.277,0.745,29
N.ar_FL_133,N.ar,0,0,2.001,1.923,2.359,0.617,0,0,0,0,2.395,1.033,2.308,0.921,2.935,0.924,1.341,0.433,29
N.ar_FL_134,N.ar,0,0.362,2.263,2.108,2.739,1.044,0,0,0.734,0.679,2.709,0.993,2.683,0.923,3.204,1.049,1.575,0.754,29
N.ar_FL_39,N.ar,0,0.15,1.446,1.469,1.714,0.424,0,0,0,0,2.07,0.856,2.083,0.887,2.163,0.946,1.003,0.627,29
N.ar_FL_40,N.ar,0,0.329,2.26,2.453,2.673,0.813,0,0,1.041,0.373,2.226,1.112,2.408,1.146,2.706,1.113,1.472,0.636,29
N.ar_FL_41,N.ar,0,0.115,1.444,1.537,1.847,0.974,0,0,0,0,2.482,0.592,2.175,0.866,2.623,0.857,1.701,0.648,29
N.ar_FL_42,N.ar,0,0,1.116,1.386,1.698,0.36,0,0,0,0,1.882,0.758,2.175,0.847,2.588,0.887,1.096,0.351,29
N.ar_FL_43,N.ar,0,0,1,1.185,1.641,0.579,0,0,0,0,2.302,0.432,2.354,0.653,3.147,0.62,1.839,0.38,29
N.ar_FL_44,N.ar,0,0.115,1.226,1.212,1.525,0.307,0,0,0.333,0.436,1.995,0.62,2.069,0.552,2.6,0.604,0.734,0.504,29
N.ar_FL_45,N.ar,0,0,1.89,2.09,3.363,0.826,0,0,0,0,2.363,1.108,2.634,1.005,3.769,0.941,2.391,0.453,29
N.ar_FL_46,N.ar,0,0.18,1.475,1.725,1.895,0.313,0,0,0.473,0.383,2.238,0.58,2.383,0.841,2.725,0.745,0.991,0.46,29
N.ar_FL_47,N.ar,0,0.605,2.154,2.113,3.048,1.416,0,0,1.387,0.551,2.673,0.806,2.689,0.962,3.74,0.824,2.703,0.721,29
N.ar_FL_48,N.ar,0,0.207,2.084,2.083,1.976,0.998,0,0,0.594,0.494,2.368,1.048,2.392,1.109,2.68,0.863,2.063,0.568,29
